id,nazov,hodnotenie
1,vigilantcitizen.com,9.8
2,zvedavec.org,9.8
3,protiprudu.org,9.8
4,orgo-net.blogspot.sk,9.7
5,aeronet.cz,9.7
6,conspi.cz,9.7
7,nwoo.org,9.7
8,badatel.net,9.6
9,czechfreepress.cz,9.6
10,protiprud.sk,9.5
11,protiproud.cz,9.5
12,zemavek.sk,9.5
13,blokprotiislamizaci.cz,9.5
14,afinabul.blog.cz,9.5
15,prvopodstata.com,9.5
16,stalo-se.cz,9.5
17,slobodavockovani.sk,9.5
18,magnificat.sk,9.5
19,nekorektni-tv.cz,9.5
20,veksvetla.cz,9.5
21,pravdive.eu,9.4
22,bezpolitickekorektnosti.cz,9.4
23,freeglobe.cz,9.4
24,svobodnenoviny.eu,9.3
25,vedomec.com,9.3
26,antiilluminati.net,9.3
27,leva-net.webnode.cz,9.3
28,vlasteneckenoviny.cz,9.3
29,novarepublika.cz,9.3
30,rukojmi.cz,9.3
31,tadesco.cz,9.2
32,eurasia24.cz,9.2
33,nemesis.sk,9.2
34,ac24.cz,9.2
35,dobajedu.cz,9.2
36,tartaria.sk,9.2
37,energieupramene.blogspot.sk,9.2
38,alternativnimagazin.cz,9.1
39,isstras.eu,9.1
40,infokuryr.cz,9.1
41,megazine.cz,9.0
42,je-to-inak.livejournal.com,9.0
43,naturalnews.com,9.0
44,necenzurovane.net,9.0
45,priznakytransformace.cz,9.0
46,nadlani.org,9.0
47,mysteria.sk,9.0
48,freedomeurope.eu,9.0
49,eurabia.cz,8.9
50,euportal.cz,8.9
51,euserver.cz,8.9
52,proevropu.com,8.9
53,cestyksobe.cz,8.9
54,ceskoaktualne.cz,8.9
55,pravyprostor.cz,8.9
56,karolinaloskotova.blog.cz,8.8
57,osud.cz,8.8
58,ers.blog.cz,8.8
59,infovojna.sk,8.8
60,rudovasky.com,8.8
61,tydenikobcanskepravo.cz,8.8
62,procproto.cz,8.8
63,casopis-sifra.cz,8.8
64,freepub.cz,8.7
65,panobcan.sk,8.6
66,svetkolemnas.info,8.6
67,stopislam.eu,8.5
68,nazorobcana.sk,8.5
69,cz.sputniknews.com,8.4
70,southfront.org,8.4
71,nejvic-info.cz,8.4
72,euroasie.info,8.4
73,wertyzreport.cz,8.4
74,e-republika.cz,8.4
75,cestacloveka.sk,8.3
76,mcaris.net,8.3
77,paratdnes.cz,8.3
78,venuska.cz,8.3
79,biosferaklub.info,8.3
80,breitbart.com,8.1
81,drsne.sk,8.1
82,slovenskeslovo.sk,8.0
83,domacaliecba.sk,8.0
84,themindunleashed.com,8.0
85,hlavnespravy.sk,7.9
86,radynadzlato.sk,7.8
87,outsidermedia.cz,7.8
88,arindrexler.com,7.8
89,ceskozdrave.cz,7.8
90,eportal.cz,7.7
91,dolezite.sk,7.6
92,bajecnylekar.sk,7.6
93,lajkit.cz,7.5
94,stredoevropan.cz,7.5
95,zpravodaj24.eu,7.4
96,securitymagazin.cz,7.4
97,krajskelisty.cz,7.3
98,ipribeh.cz,7.2
99,slovakexportregister.eu,7.2
100,resso.sk,6.9
101,medicalcentrum.eu,6.8
102,withform.cz,6.7
103,svobodnymonitor.cz,6.6
104,bajecnylekar.cz,6.6
105,parlamentne-volby-2016.sk,6.6
106,farmazdravi.cz,6.5
107,parlamentnilisty.cz,6.5
108,trendinfo.sk,6.0
109,prvnizpravy.cz,5.9
110,nevsedni-svet.cz,5.9
111,halonoviny.com,5.7
112,vitalitis.cz,5.7
113,literarky.cz,5.4
114,bulwar.cz,4.9
115,eurozpravy.cz,4.8
116,recenzezdarma.cz,4.6
117,chillin.sk,4.2
118,instory.cz,4.2